story_id,sentiment,confidence,model,date
MO_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_2,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_3,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_4,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_5,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_7,fear,0.7,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_8,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_9,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_11,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_12,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_13,joy,0.71,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_14,joy,0.58,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_16,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_17,sadness,0.73,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_18,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_20,sadness,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_21,fear,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_23,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_24,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_26,fear,0.71,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_27,joy,0.61,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_28,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_29,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_30,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_32,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_33,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_35,sadness,0.64,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_37,fear,0.76,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_38,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_43,sadness,0.44,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_44,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_45,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_47,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_49,joy,0.87,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MO_50,fear,0.85,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
