story_id,sentiment,confidence,model,date
SG_1,sadness,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_4,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_6,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_7,love,0.65,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_10,fear,0.82,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_11,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_12,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_13,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_14,love,0.74,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_16,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_17,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_19,fear,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_24,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_27,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_29,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_30,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_33,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_35,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_41,anger,0.54,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_42,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_43,fear,0.76,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_44,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_45,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_48,joy,0.41,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_49,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
SG_50,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
