story_id,sentiment,confidence,model,date
CU_1,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_2,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_3,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_4,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_6,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_7,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_8,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_9,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_10,joy,0.62,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_11,joy,0.92,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_12,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_16,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_17,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_18,joy,0.61,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_22,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_23,sadness,0.71,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_24,joy,0.71,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_26,anger,0.87,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_33,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_34,joy,0.94,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_35,joy,0.79,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_36,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_37,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_39,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_40,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_42,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_43,sadness,0.68,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_44,anger,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_45,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_46,love,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_47,sadness,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_48,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
CU_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
