story_id,sentiment,confidence,model,date
MR_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_3,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_5,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_6,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_7,fear,0.49,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_9,joy,0.76,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_10,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_12,fear,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_13,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_15,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_16,sadness,0.65,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_17,fear,0.5,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_18,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_19,fear,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_21,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_25,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_27,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_28,fear,0.85,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_29,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_30,joy,0.81,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_31,surprise,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_32,surprise,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_34,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_35,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_36,sadness,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_38,joy,0.38,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_39,joy,0.5,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_40,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_41,fear,0.78,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_42,fear,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_43,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_44,joy,0.59,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_45,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_48,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_49,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MR_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
