story_id,sentiment,confidence,model,date
PS_1,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_3,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_4,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_5,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_6,anger,0.53,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_7,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_8,anger,0.8,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_9,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_11,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_12,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_13,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_17,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_19,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_21,joy,0.89,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_23,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_25,joy,0.86,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_26,joy,0.84,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_27,joy,0.75,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_28,sadness,0.88,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_29,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_32,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_34,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_35,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_37,fear,0.36,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_38,fear,0.49,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_39,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_40,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_41,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_42,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_44,joy,0.64,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_45,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_46,sadness,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_47,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_48,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_49,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
PS_50,anger,0.69,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
