story_id,sentiment,confidence,model,date
JO_1,fear,0.4,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_2,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_3,fear,0.51,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_4,anger,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_6,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_7,joy,0.6,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_8,joy,0.72,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_9,joy,0.77,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_11,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_12,joy,0.63,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_14,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_15,anger,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_16,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_17,surprise,0.77,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_18,joy,0.85,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_19,sadness,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_20,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_21,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_22,love,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_24,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_25,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_26,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_27,joy,0.47,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_29,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_32,love,0.61,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_34,fear,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_35,joy,0.54,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_36,joy,0.82,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_38,fear,0.6,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_39,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_40,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_41,sadness,0.52,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_42,surprise,0.53,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_43,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_44,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_45,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_47,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_48,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
JO_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
