story_id,sentiment,confidence,model,date
MA_1,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_2,joy,0.43,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_6,surprise,0.68,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_7,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_8,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_9,sadness,0.44,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_10,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_11,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_12,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_13,fear,0.5,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_14,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_15,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_17,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_18,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_19,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_20,joy,0.51,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_21,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_22,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_23,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_24,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_26,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_27,joy,0.93,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_28,joy,0.9,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_29,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_30,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_31,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_32,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_33,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_34,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_35,love,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_36,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_37,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_38,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_39,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_40,joy,0.62,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_42,fear,0.57,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_43,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_44,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_45,fear,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_46,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_47,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_48,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
MA_50,surprise,0.84,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
