story_id,sentiment,confidence,model,date
DZ_1,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_2,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_3,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_4,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_5,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_6,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_7,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_8,fear,0.7,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_9,sadness,0.39,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_10,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_11,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_12,joy,0.82,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_13,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_14,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_15,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_16,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_17,surprise,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_18,joy,0.96,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_19,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_20,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_21,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_22,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_23,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_24,joy,0.91,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_25,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_26,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_27,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_28,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_29,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_30,fear,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_31,joy,0.98,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_32,joy,0.5,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_33,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_34,fear,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_35,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_36,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_37,joy,0.8,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_38,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_39,joy,0.95,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_40,fear,0.73,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_41,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_42,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_43,joy,0.65,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_44,joy,0.97,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_45,fear,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_46,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_47,fear,0.47,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_48,joy,0.83,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_49,joy,1.0,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
DZ_50,joy,0.99,bhadresh-savani/distilbert-base-uncased-emotion,11-02-2025
